Player,Short Name,Player ID,Birthdate,Team,Team ID,Match,Match ID,Date,Competition,Competition ID,Season,Season ID,Competition Edition ID,Position,Position Group,Minutes,Minutes TIP,Minutes OTIP,Minutes 1,Minutes 1 TIP,Minutes 1 OTIP,Minutes 2,Minutes 2 TIP,Minutes 2 OTIP,Physical Check Passed,Distance,M/min,Running Distance,HSR Distance,HSR Count,Sprint Distance,Sprint Count,HI Distance,HI Count,PSV-99,Medium Acceleration Count,High Acceleration Count,Medium Deceleration Count,High Deceleration Count,Explosive Acceleration to HSR Count,Time to HSR,Time to HSR Post-COD,Explosive Acceleration to Sprint Count,Time to Sprint,Time to Sprint Post-COD,Change of Direction Count,Time to 505 - Around 90,Time to 505 - Around 180,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,HSR Count TIP,Sprint Distance TIP,Sprint Count TIP,HI Distance TIP,HI Count TIP,Medium Acceleration Count TIP,High Acceleration Count TIP,Medium Deceleration Count TIP,High Deceleration Count TIP,Explosive Acceleration to HSR Count TIP,Explosive Acceleration to Sprint Count TIP,Change of Direction Count TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,HI Distance OTIP,HI Count OTIP,Medium Acceleration Count OTIP,High Acceleration Count OTIP,Medium Deceleration Count OTIP,High Deceleration Count OTIP,Explosive Acceleration to HSR Count OTIP,Explosive Acceleration to Sprint Count OTIP,Change of Direction Count OTIP,Distance 1,M/min 1,Running Distance 1,HSR Distance 1,HSR Count 1,Sprint Distance 1,Sprint Count 1,HI Distance 1,HI Count 1,Medium Acceleration Count 1,High Acceleration Count 1,Medium Deceleration Count 1,High Deceleration Count 1,Explosive Acceleration to HSR Count 1,Explosive Acceleration to Sprint Count 1,Change of Direction Count 1,Distance 1 TIP,M/min 1 TIP,Running Distance 1 TIP,HSR Distance 1 TIP,HSR Count 1 TIP,Sprint Distance 1 TIP,Sprint Count 1 TIP,HI Distance 1 TIP,HI Count 1 TIP,Medium Acceleration Count 1 TIP,High Acceleration Count 1 TIP,Medium Deceleration Count 1 TIP,High Deceleration Count 1 TIP,Explosive Acceleration to HSR Count 1 TIP,Explosive Acceleration to Sprint Count 1 TIP,Change of Direction Count 1 TIP,Distance 1 OTIP,M/min 1 OTIP,Running Distance 1 OTIP,HSR Distance 1 OTIP,HSR Count 1 OTIP,Sprint Distance 1 OTIP,Sprint Count 1 OTIP,HI Distance 1 OTIP,HI Count 1 OTIP,Medium Acceleration Count 1 OTIP,High Acceleration Count 1 OTIP,Medium Deceleration Count 1 OTIP,High Deceleration Count 1 OTIP,Explosive Acceleration to HSR Count 1 OTIP,Explosive Acceleration to Sprint Count 1 OTIP,Change of Direction Count 1 OTIP,Distance 2,M/min 2,Running Distance 2,HSR Distance 2,HSR Count 2,Sprint Distance 2,Sprint Count 2,HI Distance 2,HI Count 2,Medium Acceleration Count 2,High Acceleration Count 2,Medium Deceleration Count 2,High Deceleration Count 2,Explosive Acceleration to HSR Count 2,Explosive Acceleration to Sprint Count 2,Change of Direction Count 2,Distance 2 TIP,M/min 2 TIP,Running Distance 2 TIP,HSR Distance 2 TIP,HSR Count 2 TIP,Sprint Distance 2 TIP,Sprint Count 2 TIP,HI Distance 2 TIP,HI Count 2 TIP,Medium Acceleration Count 2 TIP,High Acceleration Count 2 TIP,Medium Deceleration Count 2 TIP,High Deceleration Count 2 TIP,Explosive Acceleration to HSR Count 2 TIP,Explosive Acceleration to Sprint Count 2 TIP,Change of Direction Count 2 TIP,Distance 2 OTIP,M/min 2 OTIP,Running Distance 2 OTIP,HSR Distance 2 OTIP,HSR Count 2 OTIP,Sprint Distance 2 OTIP,Sprint Count 2 OTIP,HI Distance 2 OTIP,HI Count 2 OTIP,Medium Acceleration Count 2 OTIP,High Acceleration Count 2 OTIP,Medium Deceleration Count 2 OTIP,High Deceleration Count 2 OTIP,Explosive Acceleration to HSR Count 2 OTIP,Explosive Acceleration to Sprint Count 2 OTIP,Change of Direction Count 2 OTIP
Seiya Nikaido,S. Nikaido,929249,2000-11-02,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Back,Central Defender,83.53,25.43,19.32,47.12,14.75,10.25,36.42,10.68,9.07,True,8019.0,96.0,858.0,155.0,13.0,23.0,1.0,178.0,14.0,26.6,80.0,4.0,70.0,5.0,3.0,0.72,0.72,0.0,,,20.0,2.61,2.66,2768.0,108.85,202.0,16.0,4.0,13.0,0.0,29.0,4.0,21.0,2.0,18.0,2.0,0.0,0.0,4.0,2725.0,141.05,494.0,125.0,8.0,7.0,0.0,132.0,8.0,41.0,2.0,26.0,2.0,1.0,0.0,15.0,4399.0,93.36,439.0,57.0,5.0,6.0,0.0,63.0,5.0,43.0,2.0,41.0,2.0,1.0,0.0,11.0,1532.0,103.86,127.0,7.0,1.0,3.0,0.0,10.0,1.0,10.0,1.0,11.0,1.0,0.0,0.0,2.0,1434.0,139.9,205.0,47.0,3.0,3.0,0.0,50.0,3.0,21.0,1.0,15.0,1.0,0.0,0.0,9.0,3620.0,99.4,419.0,98.0,8.0,17.0,1.0,115.0,9.0,37.0,2.0,29.0,3.0,2.0,0.0,9.0,1236.0,115.73,75.0,9.0,3.0,10.0,0.0,19.0,3.0,11.0,1.0,7.0,1.0,0.0,0.0,2.0,1291.0,142.34,289.0,78.0,5.0,4.0,0.0,82.0,5.0,20.0,1.0,11.0,1.0,1.0,0.0,6.0
Kagetora Hoshi,K. Hoshi,1052778,2003-07-04,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Winger,Wide Attacker,26.97,5.68,8.18,0.0,0.0,0.0,26.97,5.68,8.18,True,3158.0,117.09,476.0,161.0,19.0,115.0,5.0,276.0,24.0,31.1,31.0,3.0,33.0,5.0,2.0,0.86,0.88,1.0,1.68,1.68,20.0,3.3,2.93,946.0,166.55,204.0,71.0,9.0,90.0,2.0,161.0,11.0,9.0,1.0,8.0,1.0,0.0,0.0,9.0,1257.0,153.67,233.0,71.0,10.0,24.0,2.0,95.0,12.0,15.0,2.0,14.0,3.0,2.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3158.0,117.09,476.0,161.0,19.0,115.0,5.0,276.0,24.0,31.0,3.0,33.0,5.0,2.0,1.0,20.0,946.0,166.55,204.0,71.0,9.0,90.0,2.0,161.0,11.0,9.0,1.0,8.0,1.0,0.0,0.0,9.0,1257.0,153.67,233.0,71.0,10.0,24.0,2.0,95.0,12.0,15.0,2.0,14.0,3.0,2.0,0.0,10.0
Ryo  Arai,R. Arai,1052780,2003-07-01,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Wing Back,Full Back,97.98,27.73,24.25,47.12,14.75,10.25,50.87,12.98,14.0,True,10696.0,109.17,1542.0,591.0,56.0,234.0,12.0,825.0,68.0,30.0,111.0,6.0,90.0,19.0,3.0,0.92,,2.0,1.62,,47.0,1.94,2.98,3826.0,137.97,677.0,320.0,28.0,156.0,6.0,476.0,34.0,37.0,3.0,28.0,4.0,1.0,0.0,24.0,3471.0,143.13,627.0,266.0,25.0,61.0,5.0,327.0,30.0,57.0,2.0,38.0,9.0,2.0,2.0,20.0,5268.0,111.8,792.0,335.0,30.0,97.0,7.0,432.0,37.0,56.0,4.0,45.0,11.0,1.0,2.0,27.0,1973.0,133.76,348.0,207.0,15.0,52.0,3.0,259.0,18.0,20.0,2.0,17.0,1.0,0.0,0.0,15.0,1498.0,146.15,299.0,126.0,13.0,39.0,3.0,165.0,16.0,24.0,1.0,16.0,6.0,1.0,1.0,11.0,5428.0,106.7,750.0,256.0,26.0,137.0,5.0,393.0,31.0,55.0,2.0,45.0,8.0,2.0,0.0,20.0,1853.0,142.76,329.0,113.0,13.0,104.0,3.0,217.0,16.0,17.0,1.0,11.0,3.0,1.0,0.0,9.0,1973.0,140.93,328.0,140.0,12.0,22.0,2.0,162.0,14.0,33.0,1.0,22.0,3.0,0.0,0.0,9.0
Yusaku  Tasei,Y. Tasei,1052781,2003-10-06,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Midfield,Midfield,78.6,24.42,17.25,47.12,14.75,10.25,31.48,9.67,7.0,True,9398.0,119.57,1673.0,297.0,29.0,10.0,1.0,307.0,30.0,24.4,97.0,4.0,79.0,11.0,0.0,,,0.0,,,35.0,2.01,2.92,3776.0,154.63,763.0,52.0,7.0,2.0,0.0,54.0,7.0,34.0,2.0,30.0,2.0,0.0,0.0,7.0,3013.0,174.67,796.0,239.0,21.0,7.0,0.0,246.0,21.0,36.0,2.0,22.0,5.0,0.0,0.0,25.0,5660.0,120.12,940.0,235.0,21.0,3.0,0.0,238.0,21.0,60.0,2.0,48.0,7.0,0.0,0.0,22.0,2239.0,151.8,398.0,41.0,5.0,2.0,0.0,43.0,5.0,22.0,1.0,20.0,1.0,0.0,0.0,5.0,1792.0,174.83,470.0,189.0,15.0,0.0,0.0,189.0,15.0,18.0,1.0,11.0,3.0,0.0,0.0,16.0,3738.0,118.74,733.0,62.0,8.0,7.0,1.0,69.0,9.0,37.0,2.0,31.0,4.0,0.0,0.0,13.0,1537.0,158.95,365.0,11.0,2.0,0.0,0.0,11.0,2.0,12.0,1.0,10.0,1.0,0.0,0.0,2.0,1221.0,174.43,326.0,50.0,6.0,7.0,0.0,57.0,6.0,18.0,1.0,11.0,2.0,0.0,0.0,9.0
Kanaki  Hombo,K. Hombo,1052783,2003-10-28,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Midfield,Midfield,19.38,3.32,7.0,0.0,0.0,0.0,19.38,3.32,7.0,True,2398.0,123.74,436.0,188.0,20.0,44.0,4.0,232.0,24.0,26.7,25.0,2.0,23.0,2.0,1.0,0.86,,0.0,,,19.0,2.27,2.74,541.0,162.95,142.0,76.0,8.0,6.0,1.0,82.0,9.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,1133.0,161.86,249.0,99.0,11.0,31.0,2.0,130.0,13.0,18.0,1.0,11.0,1.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398.0,123.74,436.0,188.0,20.0,44.0,4.0,232.0,24.0,25.0,2.0,23.0,2.0,1.0,0.0,19.0,541.0,162.95,142.0,76.0,8.0,6.0,1.0,82.0,9.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,1133.0,161.86,249.0,99.0,11.0,31.0,2.0,130.0,13.0,18.0,1.0,11.0,1.0,0.0,0.0,12.0
Mahiro Yoshinaga,M. Yoshinaga,254446,2002-03-20,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Winger,Wide Attacker,8.23,2.22,1.93,0.0,0.0,0.0,8.23,2.22,1.93,True,1012.0,122.96,121.0,61.0,6.0,33.0,2.0,94.0,8.0,29.3,11.0,1.0,7.0,3.0,0.0,,,0.0,,,2.0,2.77,,350.0,157.66,49.0,34.0,2.0,20.0,0.0,54.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.0,122.96,121.0,61.0,6.0,33.0,2.0,94.0,8.0,11.0,1.0,7.0,3.0,0.0,0.0,2.0,350.0,157.66,49.0,34.0,2.0,20.0,0.0,54.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
Ryo Nagai,R. Nagai,254570,1991-05-23,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,47.12,10.25,14.75,47.12,10.25,14.75,0.0,0.0,0.0,True,4748.0,100.76,804.0,308.0,30.0,52.0,4.0,360.0,34.0,26.4,59.0,13.0,46.0,12.0,6.0,0.71,0.83,1.0,1.47,,31.0,1.94,,1461.0,142.54,372.0,171.0,16.0,19.0,3.0,190.0,19.0,23.0,3.0,14.0,4.0,2.0,0.0,13.0,1776.0,120.41,324.0,122.0,12.0,21.0,1.0,143.0,13.0,23.0,5.0,19.0,2.0,2.0,1.0,17.0,4748.0,100.76,804.0,308.0,30.0,52.0,4.0,360.0,34.0,59.0,13.0,46.0,12.0,6.0,1.0,31.0,1461.0,142.54,372.0,171.0,16.0,19.0,3.0,190.0,19.0,23.0,3.0,14.0,4.0,2.0,0.0,13.0,1776.0,120.41,324.0,122.0,12.0,21.0,1.0,143.0,13.0,23.0,5.0,19.0,2.0,2.0,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daigo Takahashi,D. Takahashi,254587,1999-04-17,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Attacking Midfield,Midfield,73.33,16.2,22.47,47.12,10.25,14.75,26.22,5.95,7.72,True,7765.0,105.89,949.0,453.0,40.0,87.0,5.0,540.0,45.0,27.9,76.0,5.0,66.0,10.0,3.0,0.96,0.96,0.0,,,42.0,2.51,3.0,2307.0,142.41,371.0,176.0,16.0,39.0,2.0,215.0,18.0,24.0,2.0,13.0,4.0,1.0,0.0,18.0,3190.0,141.97,527.0,263.0,22.0,46.0,2.0,309.0,24.0,35.0,1.0,30.0,4.0,1.0,0.0,20.0,5084.0,107.89,555.0,325.0,31.0,85.0,5.0,410.0,36.0,49.0,3.0,40.0,6.0,2.0,0.0,29.0,1517.0,148.0,242.0,123.0,12.0,38.0,2.0,161.0,14.0,19.0,1.0,10.0,2.0,1.0,0.0,13.0,2035.0,137.97,268.0,192.0,17.0,45.0,2.0,237.0,19.0,20.0,0.0,18.0,2.0,0.0,0.0,13.0,2681.0,102.25,394.0,128.0,9.0,2.0,0.0,130.0,9.0,27.0,2.0,26.0,4.0,1.0,0.0,13.0,790.0,132.77,129.0,53.0,4.0,1.0,0.0,54.0,4.0,5.0,1.0,3.0,2.0,0.0,0.0,5.0,1155.0,149.61,259.0,71.0,5.0,1.0,0.0,72.0,5.0,15.0,1.0,12.0,2.0,0.0,0.0,7.0
Kota Hoshi,K. Hoshi,816113,1992-07-27,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Back,Full Back,20.33,7.0,3.37,0.0,0.0,0.0,20.33,7.0,3.37,True,2473.0,121.64,383.0,216.0,20.0,75.0,5.0,291.0,25.0,27.1,25.0,4.0,26.0,5.0,4.0,0.72,,3.0,1.66,,15.0,2.38,,1216.0,173.71,237.0,127.0,11.0,40.0,3.0,167.0,14.0,9.0,1.0,6.0,1.0,1.0,0.0,7.0,578.0,171.51,98.0,69.0,6.0,34.0,2.0,103.0,8.0,6.0,1.0,4.0,2.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473.0,121.64,383.0,216.0,20.0,75.0,5.0,291.0,25.0,25.0,4.0,26.0,5.0,4.0,3.0,15.0,1216.0,173.71,237.0,127.0,11.0,40.0,3.0,167.0,14.0,9.0,1.0,6.0,1.0,1.0,0.0,7.0,578.0,171.51,98.0,69.0,6.0,34.0,2.0,103.0,8.0,6.0,1.0,4.0,2.0,1.0,1.0,7.0
Shuntaro Kawabe,S. Kawabe,827224,1996-05-26,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Winger,Wide Attacker,24.65,8.05,5.27,0.0,0.0,0.0,24.65,8.05,5.27,True,2516.0,102.07,294.0,137.0,20.0,139.0,5.0,276.0,25.0,29.5,27.0,5.0,20.0,8.0,3.0,0.71,0.71,1.0,1.43,1.43,17.0,2.24,,1065.0,132.3,188.0,79.0,9.0,57.0,1.0,136.0,10.0,11.0,2.0,5.0,4.0,1.0,0.0,9.0,731.0,138.71,84.0,58.0,9.0,78.0,2.0,136.0,11.0,6.0,0.0,4.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516.0,102.07,294.0,137.0,20.0,139.0,5.0,276.0,25.0,27.0,5.0,20.0,8.0,3.0,1.0,17.0,1065.0,132.3,188.0,79.0,9.0,57.0,1.0,136.0,10.0,11.0,2.0,5.0,4.0,1.0,0.0,9.0,731.0,138.71,84.0,58.0,9.0,78.0,2.0,136.0,11.0,6.0,0.0,4.0,2.0,0.0,0.0,7.0
Sho Hiramatsu,S. Hiramatsu,929015,1998-11-26,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Defensive Midfield,Midfield,97.98,24.25,27.73,47.12,10.25,14.75,50.87,14.0,12.98,True,10800.0,110.23,1764.0,485.0,44.0,99.0,4.0,584.0,48.0,28.3,123.0,3.0,103.0,14.0,0.0,,,0.0,,,35.0,2.18,2.82,3452.0,142.35,581.0,74.0,8.0,3.0,0.0,77.0,8.0,35.0,1.0,21.0,2.0,0.0,0.0,8.0,4476.0,161.41,1074.0,377.0,33.0,88.0,2.0,465.0,35.0,57.0,1.0,46.0,9.0,0.0,0.0,27.0,5342.0,113.37,922.0,232.0,20.0,41.0,2.0,273.0,22.0,62.0,1.0,49.0,3.0,0.0,0.0,21.0,1471.0,143.51,283.0,28.0,3.0,1.0,0.0,29.0,3.0,14.0,1.0,7.0,1.0,0.0,0.0,5.0,2372.0,160.81,586.0,186.0,15.0,36.0,1.0,222.0,16.0,34.0,0.0,27.0,2.0,0.0,0.0,16.0,5458.0,107.29,842.0,253.0,24.0,58.0,2.0,311.0,26.0,61.0,2.0,54.0,11.0,0.0,0.0,14.0,1981.0,141.5,298.0,46.0,5.0,2.0,0.0,48.0,5.0,21.0,0.0,14.0,1.0,0.0,0.0,3.0,2104.0,162.1,488.0,191.0,18.0,52.0,1.0,243.0,19.0,23.0,1.0,19.0,7.0,0.0,0.0,11.0
Sota Maruyama,S. Maruyama,929243,1999-06-25,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Back,Full Back,77.65,17.25,24.37,47.12,10.25,14.75,30.53,7.0,9.62,True,8661.0,111.54,1305.0,602.0,54.0,171.0,9.0,773.0,63.0,30.4,93.0,7.0,80.0,12.0,3.0,0.77,0.77,2.0,1.3,1.3,57.0,2.02,2.65,2354.0,136.46,391.0,150.0,12.0,105.0,3.0,255.0,15.0,26.0,2.0,18.0,2.0,1.0,1.0,15.0,3754.0,154.04,780.0,394.0,32.0,47.0,3.0,441.0,35.0,49.0,2.0,33.0,7.0,1.0,0.0,36.0,5168.0,109.68,678.0,312.0,27.0,115.0,5.0,427.0,32.0,59.0,3.0,48.0,8.0,1.0,1.0,36.0,1442.0,140.68,227.0,80.0,7.0,78.0,2.0,158.0,9.0,17.0,1.0,13.0,2.0,0.0,0.0,8.0,2198.0,149.02,409.0,207.0,16.0,20.0,2.0,227.0,18.0,32.0,1.0,22.0,4.0,0.0,0.0,26.0,3493.0,114.41,627.0,290.0,27.0,56.0,4.0,346.0,31.0,34.0,4.0,32.0,4.0,2.0,1.0,21.0,912.0,130.29,164.0,70.0,5.0,27.0,1.0,97.0,6.0,9.0,1.0,5.0,0.0,0.0,0.0,7.0,1556.0,161.75,371.0,187.0,16.0,27.0,1.0,214.0,17.0,17.0,1.0,11.0,3.0,1.0,0.0,10.0
Takumi Narasaka,T. Narasaka,929342,2002-07-06,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Center Back,Central Defender,97.98,24.25,27.73,47.12,10.25,14.75,50.87,14.0,12.98,True,9861.0,100.64,1222.0,469.0,46.0,169.0,8.0,638.0,54.0,29.7,109.0,10.0,100.0,10.0,6.0,0.66,0.66,1.0,1.54,1.54,33.0,2.1,2.92,2901.0,119.63,326.0,68.0,8.0,11.0,1.0,79.0,9.0,33.0,0.0,28.0,1.0,0.0,0.0,5.0,3942.0,142.16,723.0,356.0,30.0,138.0,5.0,494.0,35.0,48.0,3.0,39.0,3.0,2.0,0.0,25.0,4896.0,103.9,627.0,209.0,23.0,79.0,4.0,288.0,27.0,55.0,3.0,55.0,5.0,3.0,0.0,15.0,1271.0,124.0,155.0,38.0,5.0,4.0,1.0,42.0,6.0,16.0,0.0,17.0,0.0,0.0,0.0,2.0,2020.0,136.95,372.0,148.0,15.0,63.0,3.0,211.0,18.0,25.0,1.0,22.0,2.0,1.0,0.0,12.0,4965.0,97.6,595.0,260.0,23.0,90.0,4.0,350.0,27.0,54.0,7.0,45.0,5.0,3.0,1.0,18.0,1630.0,116.43,171.0,30.0,3.0,7.0,0.0,37.0,3.0,17.0,0.0,11.0,1.0,0.0,0.0,3.0,1922.0,148.07,351.0,208.0,15.0,75.0,2.0,283.0,17.0,23.0,2.0,17.0,1.0,0.0,0.0,13.0
Haruki Izawa,H. Izawa,929386,1999-06-14,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Defensive Midfield,Midfield,97.98,24.25,27.73,47.12,10.25,14.75,50.87,14.0,12.98,True,10696.0,109.17,1621.0,513.0,47.0,134.0,8.0,647.0,55.0,27.6,128.0,6.0,115.0,20.0,0.0,,,0.0,,,33.0,2.29,2.98,3327.0,137.2,548.0,143.0,15.0,20.0,3.0,163.0,18.0,44.0,1.0,39.0,1.0,0.0,0.0,9.0,4312.0,155.5,931.0,319.0,30.0,96.0,3.0,415.0,33.0,48.0,2.0,38.0,10.0,0.0,0.0,22.0,5364.0,113.84,893.0,326.0,28.0,95.0,5.0,421.0,33.0,68.0,2.0,61.0,7.0,0.0,0.0,16.0,1510.0,147.32,321.0,107.0,10.0,14.0,2.0,121.0,12.0,23.0,1.0,19.0,0.0,0.0,0.0,6.0,2274.0,154.17,474.0,181.0,17.0,68.0,2.0,249.0,19.0,27.0,1.0,22.0,3.0,0.0,0.0,10.0,5332.0,104.82,728.0,187.0,19.0,39.0,3.0,226.0,22.0,60.0,4.0,54.0,13.0,0.0,0.0,17.0,1817.0,129.79,227.0,36.0,5.0,6.0,1.0,42.0,6.0,21.0,0.0,20.0,1.0,0.0,0.0,3.0,2038.0,157.01,457.0,138.0,13.0,28.0,1.0,166.0,14.0,21.0,1.0,16.0,7.0,0.0,0.0,12.0
Rimpei Okano,R. Okano,929402,2000-09-15,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Winger,Wide Attacker,89.75,22.03,25.8,47.12,10.25,14.75,42.63,11.78,11.05,True,9860.0,109.86,1463.0,555.0,46.0,57.0,5.0,612.0,51.0,25.9,118.0,5.0,93.0,15.0,3.0,0.73,,0.0,,,49.0,2.29,2.9,3198.0,145.17,561.0,186.0,17.0,9.0,2.0,195.0,19.0,42.0,1.0,26.0,3.0,0.0,0.0,20.0,3814.0,147.83,811.0,345.0,28.0,39.0,3.0,384.0,31.0,48.0,2.0,40.0,6.0,1.0,0.0,27.0,5309.0,112.67,743.0,335.0,28.0,39.0,3.0,374.0,31.0,68.0,3.0,55.0,8.0,1.0,0.0,24.0,1502.0,146.54,263.0,76.0,7.0,4.0,1.0,80.0,8.0,22.0,1.0,17.0,1.0,0.0,0.0,9.0,2233.0,151.39,450.0,241.0,20.0,28.0,2.0,269.0,22.0,32.0,1.0,26.0,5.0,0.0,0.0,14.0,4551.0,106.76,720.0,220.0,18.0,18.0,2.0,238.0,20.0,50.0,2.0,38.0,7.0,2.0,0.0,25.0,1696.0,143.97,298.0,110.0,10.0,5.0,1.0,115.0,11.0,20.0,0.0,9.0,2.0,0.0,0.0,11.0,1581.0,143.08,361.0,104.0,8.0,11.0,1.0,115.0,9.0,16.0,1.0,14.0,1.0,1.0,0.0,13.0
Seung-Jin Koh,Koh Seung-Jin,929405,2000-10-10,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,50.87,14.0,12.98,0.0,0.0,0.0,50.87,14.0,12.98,True,5598.0,110.05,974.0,320.0,38.0,93.0,8.0,413.0,46.0,28.1,77.0,7.0,64.0,17.0,4.0,0.79,,1.0,1.37,,33.0,2.27,2.87,2047.0,146.21,483.0,119.0,12.0,28.0,1.0,147.0,13.0,29.0,3.0,19.0,3.0,2.0,1.0,14.0,1930.0,148.69,420.0,179.0,21.0,57.0,5.0,236.0,26.0,26.0,2.0,21.0,6.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5598.0,110.05,974.0,320.0,38.0,93.0,8.0,413.0,46.0,77.0,7.0,64.0,17.0,4.0,1.0,33.0,2047.0,146.21,483.0,119.0,12.0,28.0,1.0,147.0,13.0,29.0,3.0,19.0,3.0,2.0,1.0,14.0,1930.0,148.69,420.0,179.0,21.0,57.0,5.0,236.0,26.0,26.0,2.0,21.0,6.0,0.0,0.0,17.0
Sota Watanabe,S. Watanabe,929406,2002-03-01,Giravanz Kitakyushu,4080,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Attacking Midfield,Midfield,24.65,8.05,5.27,0.0,0.0,0.0,24.65,8.05,5.27,True,2843.0,115.33,400.0,267.0,28.0,104.0,6.0,371.0,34.0,30.4,45.0,5.0,34.0,7.0,5.0,0.66,,1.0,1.29,,25.0,2.46,,1238.0,153.79,225.0,160.0,17.0,73.0,3.0,233.0,20.0,16.0,2.0,9.0,3.0,2.0,0.0,15.0,798.0,151.42,134.0,95.0,10.0,29.0,2.0,124.0,12.0,10.0,1.0,7.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2843.0,115.33,400.0,267.0,28.0,104.0,6.0,371.0,34.0,45.0,5.0,34.0,7.0,5.0,1.0,25.0,1238.0,153.79,225.0,160.0,17.0,73.0,3.0,233.0,20.0,16.0,2.0,9.0,3.0,2.0,0.0,15.0,798.0,151.42,134.0,95.0,10.0,29.0,2.0,124.0,12.0,10.0,1.0,7.0,1.0,0.0,0.0,8.0
